# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "12" "-p" "-O" "-Q" "5" "-t" "exon" "-g" "ID" "-a" "PlasmoDB-61_PfalciparumHB3.gff" "-o" "pipeline_output/counts/combined_counts.txt" "pipeline_output/bam/combined.bam" 
Geneid	Chr	Start	End	Strand	Length	pipeline_output/bam/combined.bam
exon_PfHB3_030009400-t41_1-E1	PfHB3_03	207642	209513	-	1872	197
exon_PfHB3_100023300-t41_1-E1	PfHB3_10	701271	703205	+	1935	19
exon_PfHB3_100023300-t41_1-E2	PfHB3_10	703476	703667	+	192	6
exon_PfHB3_140011000-t41_1-E7	PfHB3_14	210710	210735	-	26	0
exon_PfHB3_140011000-t41_1-E6	PfHB3_14	210833	210929	-	97	0
exon_PfHB3_140011000-t41_1-E5	PfHB3_14	211058	211162	-	105	0
exon_PfHB3_140011000-t41_1-E4	PfHB3_14	211303	211372	-	70	1
exon_PfHB3_140011000-t41_1-E3	PfHB3_14	211471	211643	-	173	10
exon_PfHB3_140011000-t41_1-E2	PfHB3_14	211759	211846	-	88	12
exon_PfHB3_140011000-t41_1-E1	PfHB3_14	212008	214799	-	2792	74
exon_PfHB3_060021000-t41_1-E1	PfHB3_06	647169	648719	-	1551	13
exon_PfHB3_110043100-t41_1-E1	PfHB3_11	1516354	1517680	+	1327	5
exon_PfHB3_110043100-t41_1-E2	PfHB3_11	1517832	1518307	+	476	8
exon_PfHB3_080034200-t41_1-E1	PfHB3_08	1249218	1251446	-	2229	240
exon_PfHB3_050021300-t41_1-E1	PfHB3_05	690652	692697	+	2046	46
exon_PfHB3_130029500-t41_1-E2	PfHB3_13	994798	995324	-	527	1459
exon_PfHB3_130029500-t41_1-E1	PfHB3_13	995547	995592	-	46	296
exon_PfHB3_110014200-t41_1-E1	PfHB3_11	349361	351100	+	1740	80
exon_PfHB3_060010800-t41_1-E2	PfHB3_06	225191	225230	-	40	27
exon_PfHB3_060010800-t41_1-E1	PfHB3_06	225399	232489	-	7091	1559
exon_PfHB3_100026500-t41_1-E1	PfHB3_10	871273	872806	+	1534	52
exon_PfHB3_100026500-t41_1-E2	PfHB3_10	872966	875703	+	2738	135
exon_PfHB3_020012400-t41_1-E4	PfHB3_02	285856	287984	-	2129	187
exon_PfHB3_020012400-t41_1-E3	PfHB3_02	288127	288261	-	135	26
exon_PfHB3_020012400-t41_1-E2	PfHB3_02	288373	288963	-	591	46
